Designator,Mid X,Mid Y,Rotation,Layer
C1,134.75,-76.0,90.0,top
C2,138.25,-76.0,90.0,top
C3,142.525,-84.0,0.0,top
C4,147.525,-84.0,0.0,top
C5,150.5,-76.0,270.0,top
C6,154.25,-76.0,270.0,top
D1,144.5,-77.0,180.0,top
J1,135.0,-83.86,270.0,top
J2,135.0,-97.0,270.0,top
J3,155.0,-97.0,90.0,top
J4,155.0,-83.86,90.0,top
J5,145.0,-112.0,0.0,top
R1,134.5,-90.5,180.0,top
R2,137.7,-90.5,0.0,top
R3,134.8,-105.5,90.0,top
R4,134.8,-109.4,270.0,top
R5,155.3,-108.225,270.0,top
R6,155.1,-104.6,90.0,top
R7,155.6,-90.5,0.0,top
R8,152.275,-90.5,180.0,top
U1,144.9266,-91.445,90.0,top
